Date,KWH,MMBTU
04/23/2021,65928.48,0
04/24/2021,64474.03,NULL
04/25/2021,49177.19,NULL
04/26/2021,52972.8,NULL
04/27/2021,61505.57,NULL
04/28/2021,60644.73,NULL
04/29/2021,60277.47,11181.38
04/30/2021,63123.61,0
05/01/2021,56679.57,4569.82
05/02/2021,42952.67,0
05/03/2021,49532.09,4237.51
05/04/2021,57631.5,4844.25
05/05/2021,57212.84,10278.83
05/06/2021,57907.57,5566.76
05/07/2021,60479.06,5319.13
05/08/2021,59243.08,0
05/09/2021,43159.11,8713.25
05/10/2021,51440.38,0
05/11/2021,60282.61,0
05/12/2021,57358.59,NULL
05/13/2021,57981.98,NULL
05/14/2021,58099.69,NULL
05/15/2021,59508.77,NULL
05/16/2021,41740.54,NULL
05/17/2021,51222.61,NULL
05/18/2021,58831.34,NULL
05/19/2021,57629.61,NULL
05/20/2021,60925.33,9748.55
05/21/2021,61332.97,0
05/22/2021,61522.44,4394.52
05/23/2021,43175.82,3724.6
05/24/2021,50628.34,0
05/25/2021,56954,9973.7
05/26/2021,57897.54,4937.88
05/27/2021,57186.77,5066.79
05/28/2021,57145.98,0
05/29/2021,54750.73,NULL
05/30/2021,38661.6,3636.66
05/31/2021,49215.37,0
06/01/2021,56000.13,4199.02
06/02/2021,55928.06,8171.2
06/03/2021,56835.93,0
06/04/2021,58050.08,NULL
06/05/2021,55196.88,7420.44
06/06/2021,38682.28,0
06/07/2021,45454.85,3982.25
06/08/2021,56184.84,4297.35
06/09/2021,53719.36,0
06/10/2021,50877.33,NULL
06/11/2021,49972.22,NULL
06/12/2021,51340.53,NULL
06/13/2021,36623.82,NULL
06/14/2021,45123.76,8744.9
06/15/2021,55619.09,0
06/16/2021,56666.52,10309.25
06/17/2021,56246.56,5293.94
06/18/2021,57997.92,5273.02
06/19/2021,58335.26,0
06/27/2021,430650.7,NULL
06/28/2021,50869.31,3979.69
06/29/2021,61357.89,10956.53
06/30/2021,60092.35,5517.11
07/01/2021,59515.12,0
